肖申克的救赎,1994,9.7,2755992
霸王别姬,1993,9.6,2041302
阿甘正传,1994,9.5,2066623
泰坦尼克号,1997,9.5,2026702
这个杀手不太冷,1994,9.4,2205900
美丽人生,1997,9.6,1269831
千与千寻,2001,9.4,2141389
辛德勒的名单,1993,9.6,1058979
盗梦空间,2010,9.4,1975664
星际穿越,2014,9.4,1711571
楚门的世界,1998,9.4,1605209
忠犬八公的故事,2009,9.4,1345352
海上钢琴师,1998,9.3,1609973
三傻大闹宝莱坞,2009,9.2,1786597
放牛班的春天,2004,9.3,1255900
机器人总动员,2008,9.3,1262967
无间道,2002,9.3,1291620
疯狂动物城,2016,9.2,1828087
控方证人,1957,9.6,511372
大话西游之大圣娶亲,1995,9.2,1468887
熔炉,2011,9.4,895050
教父,1972,9.3,919038
当幸福来敲门,2006,9.2,1457756
触不可及,2011,9.3,1049867
怦然心动,2010,9.1,1754117
龙猫,1988,9.2,1210315
末代皇帝,1987,9.3,830422
寻梦环游记,2017,9.1,1581680
活着,1994,9.3,799595
蝙蝠侠：黑暗骑士,2008,9.2,1011228
哈利・波特与魔法石,2001,9.2,1119262
指环王3：王者无敌,2003,9.3,766571
乱世佳人,1939,9.3,659888
素媛,2013,9.3,654877
飞屋环游记,2009,9.1,1266765
我不是药神,2018,9.0,2006186
何以为家,2018,9.1,996588
摔跤吧！爸爸,2016,9.0,1504704
十二怒汉,1957,9.4,462827
哈尔的移动城堡,2004,9.1,968888
鬼子来了,2000,9.3,597378
少年派的奇幻漂流,2012,9.1,1299210
猫鼠游戏,2002,9.1,959148
让子弹飞,2010,9.0,1618958
大话西游之月光宝盒,1995,9.0,1170273
钢琴家,2002,9.3,596537
天空之城,1986,9.2,784572
海蒂和爷爷,2015,9.3,554574
指环王2：双塔奇兵,2002,9.2,717374
闻香识女人,1992,9.1,839287
天堂电影院,1988,9.2,655326
罗马假日,1953,9.1,913028
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,411795
死亡诗社,1989,9.2,681524
指环王1：护戒使者,2001,9.1,808584
黑客帝国,1999,9.1,802200
绿皮书,2018,8.9,1560378
教父2,1974,9.3,523101
狮子王,1994,9.1,798400
辩护人,2013,9.2,567584
饮食男女,1994,9.2,588059
搏击俱乐部,1999,9.0,811806
美丽心灵,2001,9.1,736398
本杰明・巴顿奇事,2008,9.0,942980
穿条纹睡衣的男孩,2008,9.2,532715
窃听风暴,2006,9.2,540454
情书,1995,8.9,1050557
两杆大烟枪,1998,9.1,571875
西西里的美丽传说,2000,8.9,933902
音乐之声,1965,9.1,573746
看不见的客人,2016,8.8,1197084
拯救大兵瑞恩,1998,9.1,619233
飞越疯人院,1975,9.1,527731
小鞋子,1997,9.2,391763
阿凡达,2009,8.8,1338358
哈利・波特与死亡圣器(下),2011,9.0,786281
沉默的羔羊,1991,8.9,844691
禁闭岛,2010,8.9,927055
布达佩斯大饭店,2014,8.9,880669
致命魔术,2006,8.9,820861
蝴蝶效应,2004,8.9,895259
海豚湾,2009,9.3,347243
美国往事,1984,9.2,394637
心灵捕手,1997,8.9,676840
低俗小说,1994,8.9,795327
春光乍泄,1997,9.0,601687
摩登时代,1936,9.3,285593
功夫,2004,8.8,1053781
喜剧之王,1999,8.8,924295
哈利・波特与阿兹卡班的囚徒,2004,8.9,679314
超脱,2011,9.0,552813
七宗罪,1995,8.8,908585
致命ID,2003,8.8,781448
杀人回忆,2003,8.9,675129
红辣椒,2006,9.1,434922
加勒比海盗,2003,8.8,821269
狩猎,2012,9.1,370112
被嫌弃的松子的一生,2006,8.9,678483
7号房的礼物,2013,8.9,532672
请以你的名字呼唤我,2017,8.9,685453
哈利・波特与密室,2002,8.8,706132
一一,2000,9.1,366810
唐伯虎点秋香,1993,8.7,1025787
剪刀手爱德华,1990,8.7,1001789
断背山,2005,8.8,681924
勇敢的心,1995,8.9,542783
入殓师,2008,8.9,637115
爱在黎明破晓前,1995,8.8,641898
第六感,1999,8.9,531520
重庆森林,1994,8.8,771852
蝙蝠侠：黑暗骑士崛起,2012,8.8,688429
幽灵公主,1997,8.9,500908
天使爱美丽,2001,8.7,931376
菊次郎的夏天,1999,8.9,567445
超能陆战队,2014,8.7,965615
爱在日落黄昏时,2004,8.9,527869
阳光灿烂的日子,1994,8.9,590165
小森林 夏秋篇,2014,9.0,408209
完美的世界,1993,9.1,298719
甜蜜蜜,1996,8.9,512548
无人知晓,2004,9.1,302340
消失的爱人,2014,8.7,889545
借东西的小人阿莉埃蒂,2010,8.9,525900
倩女幽魂,1987,8.8,700227
小森林 冬春篇,2015,9.0,363911
侧耳倾听,1995,8.9,440517
时空恋旅人,2013,8.8,626606
幸福终点站,2004,8.8,541455
驯龙高手,2010,8.8,723637
寄生虫,2019,8.8,1309861
萤火之森,2011,8.9,508566
教父3,1990,9.0,353473
一个叫欧维的男人决定去死,2015,8.9,445210
怪兽电力公司,2001,8.8,636216
未麻的部屋,1997,9.1,309269
玩具总动员3,2010,8.9,489064
玛丽和马克思,2009,8.9,409656
傲慢与偏见,2005,8.7,757170
神偷奶爸,2010,8.6,909931
釜山行,2016,8.6,1144569
哈利・波特与火焰杯,2005,8.8,615289
告白,2010,8.8,649492
大鱼,2003,8.8,546707
被解救的姜戈,2012,8.8,580944
新世界,2013,8.9,399144
哪吒闹海,1979,9.2,245635
射雕英雄传之东成西就,1993,8.7,606275
阳光姐妹淘,2011,8.8,573545
我是山姆,2001,9.0,322730
头号玩家,2018,8.7,1308878
恐怖直播,2013,8.7,624814
模仿游戏,2014,8.8,616916
喜宴,1993,9.0,340255
血战钢锯岭,2016,8.7,754486
七武士,1954,9.3,187562
花样年华,2000,8.7,573321
九品芝麻官,1994,8.7,633864
头脑特工队,2015,8.8,579456
黑客帝国3：矩阵革命,2003,8.8,428443
电锯惊魂,2004,8.8,506347
惊魂记,1960,9.0,272445
三块广告牌,2017,8.7,787368
你的名字。,2016,8.5,1327635
达拉斯买家俱乐部,2013,8.8,434286
色，戒,2007,8.6,744783
卢旺达饭店,2004,8.9,314143
疯狂原始人,2013,8.7,805650
茶馆,1982(中国大陆),9.5,124405
上帝之城,2002,9.0,290247
心迷宫,2014,8.7,494113
谍影重重3,2007,8.8,400403
英雄本色,1986,8.6,510035
风之谷,1984,8.9,341764
纵横四海,1991,8.8,401628
海街日记,2015,8.8,424794
绿里奇迹,1999,8.9,311347
爱在午夜降临前,2013,8.9,376158
记忆碎片,2000,8.7,577562
岁月神偷,2010,8.7,558174
忠犬八公物语,1987,9.2,185190
荒蛮故事,2014,8.8,422850
爆裂鼓手,2014,8.7,558749
疯狂的石头,2006,8.6,781622
小偷家族,2018,8.7,782701
无敌破坏王,2012,8.7,511920
贫民窟的百万富翁,2008,8.6,719174
雨中曲,1952,9.1,210068
冰川时代,2002,8.6,586899
东邪西毒,1994,8.6,552564
真爱至上,2003,8.6,696052
恐怖游轮,2009,8.5,813321
2001太空漫游,1968,8.9,302692
无间道2,2003,8.7,447694
你看起来好像很好吃,2010,8.9,319379
背靠背，脸对脸,1994,9.5,118558
小丑,2019,8.7,960564
黑天鹅,2010,8.6,756790
牯岭街少年杀人事件,1991,8.9,279391
遗愿清单,2007,8.7,429960
魔女宅急便,1989,8.7,436834
大佛普拉斯,2017,8.7,427807
可可西里,2004,8.9,289380
雨人,1988,8.7,388198
城市之光,1931,9.3,137588
东京教父,2003,9.0,208547
恋恋笔记本,2004,8.6,640627
源代码,2011,8.5,801545
心灵奇旅,2020,8.7,918970
初恋这件小事,2010,8.5,949719
海边的曼彻斯特,2016,8.6,496814
人工智能,2001,8.7,424795
虎口脱险,1966,8.9,242961
萤火虫之墓,1988,8.7,392215
波西米亚狂想曲,2018,8.6,573750
青蛇,1993,8.6,500353
罗生门,1950,8.8,299321
终结者2：审判日,1991,8.8,326371
疯狂的麦克斯4：狂暴之路,2015,8.7,503238
新龙门客栈,1992,8.7,422643
奇迹男孩,2017,8.6,532840
二十二,2015,8.7,282719
无耻混蛋,2009,8.6,452742
千钧一发,1997,8.8,278611
房间,2015,8.8,357541
崖上的波妞,2008,8.6,464644
血钻,2006,8.7,362871
彗星来的那一夜,2013,8.5,542841
黑客帝国2：重装上阵,2003,8.7,388451
步履不停,2008,8.8,265894
魂断蓝桥,1940,8.8,265403
战争之王,2005,8.7,350478
爱乐之城,2016,8.4,842630
末路狂花,1991,8.9,232103
火星救援,2015,8.5,689279
谍影重重2,2004,8.7,336159
花束般的恋爱,2021,8.6,541633
燃情岁月,1994,8.8,275452
千年女优,2001,8.8,248275
阿飞正传,1990,8.5,484624
再次出发之纽约遇见你,2013,8.6,410607
谍影重重,2002,8.6,405141
哈利・波特与死亡圣器(上),2010,8.5,533514
朗读者,2008,8.6,440147
弱点,2009,8.7,286524
海洋,2009,9.1,153264
香水,2006,8.5,525682
芙蓉镇,1987,9.2,119387
穿越时空的少女,2006,8.6,367245
我爱你,2011,9.0,159044
地球上的星星,2007,8.9,196653
肖申克的救赎,1994,9.7,2755992
霸王别姬,1993,9.6,2041302
阿甘正传,1994,9.5,2066623
泰坦尼克号,1997,9.5,2026702
这个杀手不太冷,1994,9.4,2205900
美丽人生,1997,9.6,1269831
千与千寻,2001,9.4,2141389
辛德勒的名单,1993,9.6,1058979
盗梦空间,2010,9.4,1975664
星际穿越,2014,9.4,1711571
楚门的世界,1998,9.4,1605209
忠犬八公的故事,2009,9.4,1345352
海上钢琴师,1998,9.3,1609973
三傻大闹宝莱坞,2009,9.2,1786597
放牛班的春天,2004,9.3,1255900
机器人总动员,2008,9.3,1262967
无间道,2002,9.3,1291620
疯狂动物城,2016,9.2,1828087
控方证人,1957,9.6,511372
大话西游之大圣娶亲,1995,9.2,1468887
熔炉,2011,9.4,895050
教父,1972,9.3,919038
当幸福来敲门,2006,9.2,1457756
触不可及,2011,9.3,1049867
怦然心动,2010,9.1,1754117
龙猫,1988,9.2,1210315
末代皇帝,1987,9.3,830422
寻梦环游记,2017,9.1,1581683
活着,1994,9.3,799595
蝙蝠侠：黑暗骑士,2008,9.2,1011228
哈利・波特与魔法石,2001,9.2,1119262
指环王3：王者无敌,2003,9.3,766571
乱世佳人,1939,9.3,659892
素媛,2013,9.3,654877
飞屋环游记,2009,9.1,1266765
我不是药神,2018,9.0,2006186
何以为家,2018,9.1,996588
摔跤吧！爸爸,2016,9.0,1504706
十二怒汉,1957,9.4,462827
哈尔的移动城堡,2004,9.1,968888
鬼子来了,2000,9.3,597378
少年派的奇幻漂流,2012,9.1,1299210
猫鼠游戏,2002,9.1,959148
让子弹飞,2010,9.0,1618958
大话西游之月光宝盒,1995,9.0,1170273
钢琴家,2002,9.3,596537
天空之城,1986,9.2,784572
海蒂和爷爷,2015,9.3,554574
指环王2：双塔奇兵,2002,9.2,717374
闻香识女人,1992,9.1,839287
天堂电影院,1988,9.2,655326
罗马假日,1953,9.1,913028
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,411795
死亡诗社,1989,9.2,681524
指环王1：护戒使者,2001,9.1,808584
黑客帝国,1999,9.1,802200
绿皮书,2018,8.9,1560378
教父2,1974,9.3,523101
狮子王,1994,9.1,798400
辩护人,2013,9.2,567584
饮食男女,1994,9.2,588059
搏击俱乐部,1999,9.0,811806
美丽心灵,2001,9.1,736398
本杰明・巴顿奇事,2008,9.0,942982
穿条纹睡衣的男孩,2008,9.2,532715
窃听风暴,2006,9.2,540454
情书,1995,8.9,1050557
两杆大烟枪,1998,9.1,571875
西西里的美丽传说,2000,8.9,933902
音乐之声,1965,9.1,573746
看不见的客人,2016,8.8,1197084
拯救大兵瑞恩,1998,9.1,619233
飞越疯人院,1975,9.1,527731
小鞋子,1997,9.2,391763
阿凡达,2009,8.8,1338358
哈利・波特与死亡圣器(下),2011,9.0,786281
沉默的羔羊,1991,8.9,844691
禁闭岛,2010,8.9,927055
布达佩斯大饭店,2014,8.9,880669
致命魔术,2006,8.9,820861
蝴蝶效应,2004,8.9,895259
海豚湾,2009,9.3,347243
美国往事,1984,9.2,394637
心灵捕手,1997,8.9,676840
低俗小说,1994,8.9,795327
春光乍泄,1997,9.0,601687
摩登时代,1936,9.3,285593
功夫,2004,8.8,1053781
喜剧之王,1999,8.8,924295
哈利・波特与阿兹卡班的囚徒,2004,8.9,679314
超脱,2011,9.0,552813
七宗罪,1995,8.8,908585
致命ID,2003,8.8,781448
杀人回忆,2003,8.9,675129
红辣椒,2006,9.1,434922
加勒比海盗,2003,8.8,821269
狩猎,2012,9.1,370112
被嫌弃的松子的一生,2006,8.9,678483
7号房的礼物,2013,8.9,532672
请以你的名字呼唤我,2017,8.9,685453
哈利・波特与密室,2002,8.8,706132
一一,2000,9.1,366810
唐伯虎点秋香,1993,8.7,1025787
剪刀手爱德华,1990,8.7,1001789
断背山,2005,8.8,681924
勇敢的心,1995,8.9,542783
入殓师,2008,8.9,637116
爱在黎明破晓前,1995,8.8,641898
第六感,1999,8.9,531520
重庆森林,1994,8.8,771852
蝙蝠侠：黑暗骑士崛起,2012,8.8,688429
幽灵公主,1997,8.9,500908
天使爱美丽,2001,8.7,931376
菊次郎的夏天,1999,8.9,567445
超能陆战队,2014,8.7,965615
爱在日落黄昏时,2004,8.9,527869
阳光灿烂的日子,1994,8.9,590165
小森林 夏秋篇,2014,9.0,408209
完美的世界,1993,9.1,298719
甜蜜蜜,1996,8.9,512548
无人知晓,2004,9.1,302340
消失的爱人,2014,8.7,889545
借东西的小人阿莉埃蒂,2010,8.9,525900
倩女幽魂,1987,8.8,700227
小森林 冬春篇,2015,9.0,363911
侧耳倾听,1995,8.9,440517
时空恋旅人,2013,8.8,626606
幸福终点站,2004,8.8,541455
驯龙高手,2010,8.8,723637
寄生虫,2019,8.8,1309861
萤火之森,2011,8.9,508566
教父3,1990,9.0,353473
一个叫欧维的男人决定去死,2015,8.9,445210
怪兽电力公司,2001,8.8,636216
未麻的部屋,1997,9.1,309269
玩具总动员3,2010,8.9,489064
玛丽和马克思,2009,8.9,409656
傲慢与偏见,2005,8.7,757170
神偷奶爸,2010,8.6,909931
釜山行,2016,8.6,1144569
哈利・波特与火焰杯,2005,8.8,615289
告白,2010,8.8,649492
大鱼,2003,8.8,546708
被解救的姜戈,2012,8.8,580944
新世界,2013,8.9,399144
哪吒闹海,1979,9.2,245635
射雕英雄传之东成西就,1993,8.7,606275
阳光姐妹淘,2011,8.8,573545
我是山姆,2001,9.0,322730
头号玩家,2018,8.7,1308878
恐怖直播,2013,8.7,624814
模仿游戏,2014,8.8,616916
喜宴,1993,9.0,340255
血战钢锯岭,2016,8.7,754486
七武士,1954,9.3,187562
花样年华,2000,8.7,573321
九品芝麻官,1994,8.7,633865
头脑特工队,2015,8.8,579456
黑客帝国3：矩阵革命,2003,8.8,428443
电锯惊魂,2004,8.8,506347
惊魂记,1960,9.0,272445
三块广告牌,2017,8.7,787368
你的名字。,2016,8.5,1327635
达拉斯买家俱乐部,2013,8.8,434286
色，戒,2007,8.6,744783
卢旺达饭店,2004,8.9,314143
疯狂原始人,2013,8.7,805650
茶馆,1982(中国大陆),9.5,124405
上帝之城,2002,9.0,290247
心迷宫,2014,8.7,494114
谍影重重3,2007,8.8,400403
英雄本色,1986,8.6,510035
风之谷,1984,8.9,341764
纵横四海,1991,8.8,401628
海街日记,2015,8.8,424794
绿里奇迹,1999,8.9,311347
爱在午夜降临前,2013,8.9,376158
记忆碎片,2000,8.7,577562
岁月神偷,2010,8.7,558174
忠犬八公物语,1987,9.2,185190
荒蛮故事,2014,8.8,422850
爆裂鼓手,2014,8.7,558749
疯狂的石头,2006,8.6,781622
小偷家族,2018,8.7,782701
无敌破坏王,2012,8.7,511920
贫民窟的百万富翁,2008,8.6,719174
雨中曲,1952,9.1,210068
冰川时代,2002,8.6,586899
东邪西毒,1994,8.6,552564
真爱至上,2003,8.6,696052
恐怖游轮,2009,8.5,813321
2001太空漫游,1968,8.9,302692
无间道2,2003,8.7,447694
你看起来好像很好吃,2010,8.9,319379
背靠背，脸对脸,1994,9.5,118558
小丑,2019,8.7,960564
黑天鹅,2010,8.6,756790
牯岭街少年杀人事件,1991,8.9,279391
遗愿清单,2007,8.7,429960
魔女宅急便,1989,8.7,436834
大佛普拉斯,2017,8.7,427807
可可西里,2004,8.9,289380
雨人,1988,8.7,388200
城市之光,1931,9.3,137588
东京教父,2003,9.0,208547
恋恋笔记本,2004,8.6,640627
源代码,2011,8.5,801545
心灵奇旅,2020,8.7,918970
初恋这件小事,2010,8.5,949719
海边的曼彻斯特,2016,8.6,496814
人工智能,2001,8.7,424795
虎口脱险,1966,8.9,242961
萤火虫之墓,1988,8.7,392215
波西米亚狂想曲,2018,8.6,573750
青蛇,1993,8.6,500353
罗生门,1950,8.8,299321
终结者2：审判日,1991,8.8,326371
疯狂的麦克斯4：狂暴之路,2015,8.7,503239
新龙门客栈,1992,8.7,422643
奇迹男孩,2017,8.6,532840
二十二,2015,8.7,282719
无耻混蛋,2009,8.6,452742
千钧一发,1997,8.8,278611
房间,2015,8.8,357541
崖上的波妞,2008,8.6,464644
血钻,2006,8.7,362871
彗星来的那一夜,2013,8.5,542841
黑客帝国2：重装上阵,2003,8.7,388451
步履不停,2008,8.8,265894
魂断蓝桥,1940,8.8,265403
战争之王,2005,8.7,350478
爱乐之城,2016,8.4,842630
末路狂花,1991,8.9,232103
火星救援,2015,8.5,689279
谍影重重2,2004,8.7,336159
花束般的恋爱,2021,8.6,541633
燃情岁月,1994,8.8,275452
千年女优,2001,8.8,248275
阿飞正传,1990,8.5,484624
再次出发之纽约遇见你,2013,8.6,410607
谍影重重,2002,8.6,405141
哈利・波特与死亡圣器(上),2010,8.5,533514
朗读者,2008,8.6,440147
弱点,2009,8.7,286524
海洋,2009,9.1,153264
香水,2006,8.5,525682
芙蓉镇,1987,9.2,119387
穿越时空的少女,2006,8.6,367247
我爱你,2011,9.0,159044
地球上的星星,2007,8.9,196653
